Name,Country,Current_rapid_rating,Highest_rapid_rating,Rapid_win,Rapid_draw,Rapid_loss,Current_blitz_rating,Highest_blitz_rating,Blitz_win,Blitz_draw,Blitz_loss,Wins_online,Draws_online,Losses_online
"Engine, Komodo",United States,,,,,,,,,,,,,
"Plát, Vojtěch",Czech Republic,2383.0,2672.0,12.0,5.0,6.0,2823.0,2914.0,976.0,280.0,847.0,46.47,13.41,40.12
"Carlsen, PlayMagnus",Norway,,,,,,,,,,,,,
"Carlsen, Magnus",Norway,2925.0,2977.0,43.0,23.0,8.0,3287.0,3322.0,1402.0,292.0,334.0,68.74,14.99,16.27
"Caruana, Fabiano",United States,2794.0,3045.0,122.0,103.0,46.0,3125.0,3136.0,1012.0,194.0,322.0,63.04,16.51,20.46
"Shkuro, Iuri",Ukraine,2492.0,2566.0,179.0,4.0,9.0,2906.0,2906.0,977.0,219.0,505.0,61.07,11.78,27.15
"Nakamura, Hikaru",United States,2781.0,2927.0,156.0,157.0,39.0,3232.0,3332.0,24782.0,3307.0,4284.0,76.2,10.59,13.21
"Kasparov, Garry",Russia,,,,,,,,,,,,,
"Anand, Viswanathan",India,,,,,,,,,,,,,
"Aronian, Levon",United States,2781.0,2939.0,77.0,69.0,31.0,3051.0,3152.0,83.0,63.0,78.0,39.9,32.92,27.18
"Firouzja, Alireza",France,2715.0,2837.0,31.0,20.0,18.0,3100.0,3233.0,6266.0,1467.0,3923.0,53.71,12.68,33.61
"Nakamura, Hikaru",United States,263.0,,0.0,0.0,1.0,,,,,,,,
"Grischuk, Alexander",Russia,2679.0,2837.0,94.0,111.0,61.0,3029.0,3146.0,953.0,427.0,487.0,49.09,25.22,25.69
"Karjakin, Sergey",Russia,2735.0,2835.0,1.0,4.0,0.0,3023.0,3023.0,228.0,68.0,65.0,62.57,19.67,17.76
"Vachier-Lagrave, Maxime",France,2754.0,2863.0,41.0,27.0,18.0,3127.0,3143.0,1415.0,373.0,508.0,61.13,16.79,22.08
"Nepomniachtchi, Ian",Russia,2728.0,2908.0,75.0,60.0,29.0,3084.0,3204.0,2947.0,730.0,1650.0,55.04,14.39,30.58
"Giri, Anish",Netherlands,2686.0,2852.0,74.0,77.0,35.0,3087.0,3115.0,318.0,140.0,138.0,50.13,27.75,22.12
"Mamedyarov, Shakhriyar",Azerbaijan,,,,,,2990.0,3012.0,204.0,25.0,65.0,,,
"Gareev, Timur",United States,,,,,,,,,,,,,
"Pentala, Harikrishna",India,2642.0,2869.0,20.0,24.0,14.0,2978.0,3055.0,529.0,194.0,523.0,42.1,16.72,41.18
"Radjabov, Teimour",Azerbaijan,2671.0,2848.0,18.0,24.0,9.0,3020.0,3089.0,113.0,11.0,22.0,66.5,17.77,15.74
"Giri, Anish",Netherlands,2948.0,2948.0,29.0,4.0,0.0,3009.0,3019.0,215.0,48.0,60.0,68.54,14.61,16.85
"Kramnik, Vladimir",Russia,2717.0,2960.0,34.0,26.0,20.0,2972.0,3066.0,400.0,95.0,199.0,56.07,15.63,28.29
"Perez, Leinier Dominguez",United States,2648.0,2880.0,43.0,30.0,22.0,2932.0,3053.0,1164.0,352.0,665.0,53.03,16.78,30.18
"Onischuk, Alex",United States,1517.0,2705.0,44.0,3.0,29.0,2196.0,2345.0,80.0,1.0,7.0,75.61,2.44,21.95
"Zubov, Alexander",Ukraine,2726.0,2726.0,10.0,1.0,1.0,3046.0,3068.0,1991.0,280.0,746.0,66.06,9.28,24.66
"Wojtaszek, Radoslaw",Poland,2575.0,2749.0,12.0,9.0,4.0,2825.0,2926.0,289.0,73.0,119.0,59.49,16.21,24.31
"Duda, Jan-Krzysztof",Poland,2755.0,2997.0,31.0,8.0,11.0,3003.0,3143.0,1868.0,362.0,1006.0,57.79,11.26,30.95
"Yifan, Hou",China,2572.0,2745.0,14.0,8.0,7.0,2802.0,2816.0,125.0,42.0,88.0,48.94,17.61,33.45
"Nakamura, Hikaru",United States,,,,,,,,,,,,,
"Andreikin, Dmitry",International,2675.0,2811.0,131.0,117.0,67.0,2995.0,3161.0,2709.0,704.0,897.0,61.41,17.75,20.84
"Le, Liem",Vietnam,2693.0,2769.0,114.0,76.0,63.0,2927.0,3042.0,783.0,236.0,405.0,53.49,18.6,27.91
"Maghsoodloo, Parham",Iran,2645.0,2714.0,93.0,76.0,81.0,2984.0,3191.0,2693.0,613.0,2088.0,49.36,12.21,38.43
"Gujrathi, Vidit",India,2649.0,2754.0,89.0,64.0,39.0,3044.0,3089.0,1084.0,268.0,501.0,57.36,16.23,26.41
"Jobava, Baadur",Georgia,2596.0,2740.0,73.0,5.0,7.0,3002.0,3119.0,4930.0,1134.0,1950.0,61.77,14.06,24.16
"Shtembuliak, Evgeny",United States,1913.0,2523.0,17.0,8.0,9.0,2853.0,2985.0,3798.0,954.0,3192.0,47.82,12.06,40.12
"Zherebukh, Yaroslav",United States,2573.0,2674.0,36.0,9.0,9.0,2787.0,2943.0,1877.0,337.0,1032.0,57.97,10.48,31.55
"Akobian, Varuzhan",United States,2717.0,,0.0,0.0,1.0,,,,,,,,
"Pons, Francisco Vallejo",Spain,2631.0,2801.0,21.0,16.0,16.0,2911.0,3002.0,533.0,127.0,237.0,58.32,15.05,26.63
"Ipatov, Alexander",United States,2561.0,2717.0,77.0,11.0,7.0,2839.0,2935.0,305.0,67.0,182.0,58.86,12.02,29.12
"Durarbayli, Vasif",Azerbaijan,2609.0,2732.0,75.0,39.0,49.0,2926.0,2979.0,2693.0,524.0,2022.0,51.24,10.42,38.34
"Esipenko, Andrey",Russia,2570.0,2878.0,83.0,38.0,37.0,2938.0,3032.0,1494.0,359.0,1104.0,50.63,12.74,36.63
"Lenderman, Aleksandr",United States,2560.0,2805.0,176.0,57.0,37.0,2882.0,2997.0,1733.0,324.0,518.0,67.1,13.39,19.51
"Naiditsch, Arkadij",Germany,2521.0,2521.0,11.0,0.0,0.0,2761.0,2924.0,620.0,109.0,516.0,50.24,8.68,41.08
"Kovalev, Vladislav",International,2573.0,2842.0,176.0,89.0,111.0,2948.0,2966.0,1682.0,403.0,1323.0,49.1,13.0,37.9
"Lenderman, Alex",United States,,,,,,,,,,,,,
"Fedoseev, Vladimir",Samoa,2778.0,2787.0,247.0,103.0,89.0,3064.0,3174.0,6020.0,1293.0,4130.0,52.74,11.75,35.51
"Ehlvest, Jaan",United States,2610.0,2860.0,12.0,4.0,6.0,2633.0,2737.0,646.0,70.0,556.0,50.85,5.72,43.43
